Parameters,Score,
small1,0.25 ,
cityroadA,0.28 ,
M1,0.26 ,
ruralroadA,0.28 ,
M2,0.26 ,
highwayA,0.28 ,
M3,0.26 ,
medium1,0.25 ,
cityroadB,0.28 ,
M4,0.26 ,
ruralroadB,0.28 ,
M5,0.26 ,
highwayB,0.28 ,
M6,0.26 ,
big1,0.25 ,
cityroadC,0.28 ,
M7,0.26 ,
ruralroadC,0.28 ,
M8,0.26 ,
highwayC,0.28 ,
M9,0.26 ,
small2,0.25 ,
cityroadD,0.28 ,
M10,0.26 ,
ruralroadD,0.28 ,
M11,0.26 ,
highwayD,0.28 ,
M12,0.26 ,
medium2,0.25 ,
cityroadE,0.28 ,
M13,0.26 ,
ruralroadE,0.28 ,
M14,0.26 ,
highwayE,0.28 ,
M15,0.26 ,
big2,0.25 ,
cityroadF,0.28 ,
M16,0.26 ,
ruralroadF,0.28 ,
M17,0.26 ,
highwayF,0.28 ,
M18,0.26 ,
Car-percent,0.28 ,
Truck-percent,0.28 ,
Airplaneinput,0.28 ,
TCR,0.11 ,
TC13,0.16 ,
TC14,0.16 ,
TC15,0.16 ,
TC23,0.16 ,
TC24,0.16 ,
TC25,0.16 ,
TC314,0.50 ,
TC413,0.50 ,
TC56,0.16 ,
TC57,0.16 ,
TC58,0.16 ,
TC59,0.16 ,
TC613,0.50 ,
TC710,0.16 ,
TC713,0.16 ,
TC810,0.16 ,
TC813,0.16 ,
TC910,0.16 ,
TC913,0.16 ,
TC1011,0.16 ,
TC1012,0.16 ,
TC1114,0.50 ,
TC1315,0.42 ,
TC1316,0.42 ,
TC1415,0.46 ,
TC1417,0.46 ,
TC1516,0.16 ,
TC1518,0.16 ,
